round,date,team_home,team_away,full_text
Round 17,08.12.2024,Cercle Brugge KSV,Royale Union SG,08.12.2024 | Cercle Brugge KSV | Royale Union SG | 0 | 0
Round 17,08.12.2024,Antwerp,Charleroi,08.12.2024 | Antwerp | Charleroi | 1 | 3
Round 17,07.12.2024,Gent,St. Truiden,07.12.2024 | Gent | St. Truiden | 2 | 0
Round 17,07.12.2024,KV Mechelen,Club Brugge KV,07.12.2024 | KV Mechelen | Club Brugge KV | 1 | 2
Round 17,07.12.2024,St. Liege,Leuven,07.12.2024 | St. Liege | Leuven | 1 | 1
Round 17,07.12.2024,Genk,Kortrijk,07.12.2024 | Genk | Kortrijk | 3 | 2
Round 16,01.12.2024,Westerlo,Gent,01.12.2024 | Westerlo | Gent | 2 | 2
Round 16,01.12.2024,Royale Union SG,Antwerp,01.12.2024 | Royale Union SG | Antwerp | 2 | 1
Round 16,01.12.2024,Beerschot VA,Cercle Brugge KSV,01.12.2024 | Beerschot VA | Cercle Brugge KSV | 3 | 2
Round 16,01.12.2024,Leuven,Anderlecht,01.12.2024 | Leuven | Anderlecht | 0 | 0
Round 16,01.12.2024,St. Truiden,Genk,01.12.2024 | St. Truiden | Genk | 2 | 2
Round 16,30.11.2024,Charleroi,St. Liege,30.11.2024 | Charleroi | St. Liege | 1 | 1
Round 16,30.11.2024,Club Brugge KV,Dender,30.11.2024 | Club Brugge KV | Dender | 4 | 1
Round 16,29.11.2024,Kortrijk,KV Mechelen,29.11.2024 | Kortrijk | KV Mechelen | 3 | 1
Round 15,24.11.2024,Westerlo,Kortrijk,24.11.2024 | Westerlo | Kortrijk | 4 | 0
Round 15,24.11.2024,Anderlecht,Gent,24.11.2024 | Anderlecht | Gent | 2 | 6 | 0
Round 15,24.11.2024,Leuven,Royale Union SG,24.11.2024 | Leuven | Royale Union SG | 1 | 1
Round 15,24.11.2024,KV Mechelen,Beerschot VA,24.11.2024 | KV Mechelen | Beerschot VA | 3 | 0
Round 15,23.11.2024,Genk,Charleroi,23.11.2024 | Genk | Charleroi | 3 | 0
Round 15,23.11.2024,St. Liege,Cercle Brugge KSV,23.11.2024 | St. Liege | Cercle Brugge KSV | 1 | 0
Round 15,23.11.2024,Club Brugge KV,St. Truiden,23.11.2024 | Club Brugge KV | St. Truiden | 7 | 0
Round 15,22.11.2024,Antwerp,Dender,22.11.2024 | Antwerp | Dender | 1 | 1
Round 14,10.11.2024,Beerschot VA,Club Brugge KV,10.11.2024 | Beerschot VA | Club Brugge KV | 2 | 2
Round 14,10.11.2024,Royale Union SG,Genk,10.11.2024 | Royale Union SG | Genk | 4 | 0
Round 14,10.11.2024,Gent,St. Liege,10.11.2024 | Gent | St. Liege | 5 | 0
Round 14,10.11.2024,Cercle Brugge KSV,Anderlecht,10.11.2024 | Cercle Brugge KSV | Anderlecht | 0 | 5
Round 14,09.11.2024,Charleroi,Westerlo,09.11.2024 | Charleroi | Westerlo | 1 | 0
Round 14,09.11.2024,Dender,Leuven,09.11.2024 | Dender | Leuven | 1 | 1
Round 14,09.11.2024,Kortrijk,Antwerp,09.11.2024 | Kortrijk | Antwerp | 1 | 2
Round 14,08.11.2024,St. Truiden,KV Mechelen,08.11.2024 | St. Truiden | KV Mechelen | 2 | 1
Round 13,03.11.2024,Beerschot VA,Gent,03.11.2024 | Beerschot VA | Gent | 0 | 0
Round 13,03.11.2024,Anderlecht,Kortrijk,03.11.2024 | Anderlecht | Kortrijk | 4 | 0
Round 13,03.11.2024,Cercle Brugge KSV,Charleroi,03.11.2024 | Cercle Brugge KSV | Charleroi | 2 | 0
Round 13,03.11.2024,Genk,Antwerp,03.11.2024 | Genk | Antwerp | 2 | 0
Round 13,02.11.2024,KV Mechelen,Royale Union SG,02.11.2024 | KV Mechelen | Royale Union SG | 1 | 1
Round 13,02.11.2024,Leuven,Club Brugge KV,02.11.2024 | Leuven | Club Brugge KV | 0 | 1
Round 13,02.11.2024,St. Liege,St. Truiden,02.11.2024 | St. Liege | St. Truiden | 2 | 1
Round 13,01.11.2024,Westerlo,Dender,01.11.2024 | Westerlo | Dender | 2 | 0
Round 12,27.10.2024,Royale Union SG,Cercle Brugge KSV,27.10.2024 | Royale Union SG | Cercle Brugge KSV | 1 | 3
Round 12,27.10.2024,Gent,Genk,27.10.2024 | Gent | Genk | 0 | 2
Round 12,27.10.2024,Antwerp,St. Liege,27.10.2024 | Antwerp | St. Liege | 3 | 0
Round 12,27.10.2024,Club Brugge KV,Anderlecht,27.10.2024 | Club Brugge KV | Anderlecht | 2 | 1
Round 12,26.10.2024,St. Truiden,Westerlo,26.10.2024 | St. Truiden | Westerlo | 2 | 0
Round 12,26.10.2024,Dender,KV Mechelen,26.10.2024 | Dender | KV Mechelen | 2 | 5
Round 12,26.10.2024,Charleroi,Leuven,26.10.2024 | Charleroi | Leuven | 0 | 2
Round 12,25.10.2024,Kortrijk,Beerschot VA,25.10.2024 | Kortrijk | Beerschot VA | 1 | 0
Round 11,20.10.2024,KV Mechelen,Kortrijk,20.10.2024 | KV Mechelen | Kortrijk | 3 | 0
Round 11,20.10.2024,St. Liege,Charleroi,20.10.2024 | St. Liege | Charleroi | 2 | 1
Round 11,20.10.2024,Leuven,Antwerp,20.10.2024 | Leuven | Antwerp | 1 | 1
Round 11,20.10.2024,Genk,St. Truiden,20.10.2024 | Genk | St. Truiden | 2 | 3 | 2
Round 11,19.10.2024,Royale Union SG,Gent,19.10.2024 | Royale Union SG | Gent | 0 | 0
Round 11,19.10.2024,Cercle Brugge KSV,Dender,19.10.2024 | Cercle Brugge KSV | Dender | 0 | 0
Round 11,19.10.2024,Westerlo,Club Brugge KV,19.10.2024 | Westerlo | Club Brugge KV | 1 | 2
Round 11,18.10.2024,Beerschot VA,Anderlecht,18.10.2024 | Beerschot VA | Anderlecht | 2 | 1
Round 10,06.10.2024,St. Truiden,Gent,06.10.2024 | St. Truiden | Gent | 1 | 1
Round 10,06.10.2024,Club Brugge KV,Royale Union SG,06.10.2024 | Club Brugge KV | Royale Union SG | 1 | 1
Round 10,06.10.2024,Antwerp,Cercle Brugge KSV,06.10.2024 | Antwerp | Cercle Brugge KSV | 3 | 0
Round 10,06.10.2024,Anderlecht,St. Liege,06.10.2024 | Anderlecht | St. Liege | 3 | 0
Round 10,05.10.2024,Dender,Charleroi,05.10.2024 | Dender | Charleroi | 1 | 0
Round 10,05.10.2024,Kortrijk,Genk,05.10.2024 | Kortrijk | Genk | 2 | 1
