round,date,team_home,team_away,full_text
Final,01.06.2025,Napredak,Winner: Napredak,01.06.2025 | Napredak | Winner: Napredak | Mladost GAT | 1 | 0
Round 24,22.02.2025,Vojvodina,IMT Novi Beograd,22.02.2025 | Vojvodina | IMT Novi Beograd | 0 | 1
Round 24,21.02.2025,Tekstilac Odzaci,Radnicki 1923,21.02.2025 | Tekstilac Odzaci | Radnicki 1923 | 0 | 1
Round 24,21.02.2025,Sp. Subotica,Radnicki Nis,21.02.2025 | Sp. Subotica | Radnicki Nis | 1 | 1
Round 23,17.02.2025,Zeleznicar Pancevo,Vojvodina,17.02.2025 | Zeleznicar Pancevo | Vojvodina | 1 | 1
Round 23,17.02.2025,Cukaricki,Novi Pazar,17.02.2025 | Cukaricki | Novi Pazar | 1 | 1
Round 23,16.02.2025,TSC,Tekstilac Odzaci,16.02.2025 | TSC | Tekstilac Odzaci | 1 | 2
Round 23,16.02.2025,Radnicki Nis,Jedinstvo U.,16.02.2025 | Radnicki Nis | Jedinstvo U. | 1 | 4
Round 23,16.02.2025,Radnicki 1923,Mladost,16.02.2025 | Radnicki 1923 | Mladost | 1 | 0
Round 23,15.02.2025,Napredak,Crvena zvezda,15.02.2025 | Napredak | Crvena zvezda | 0 | 4
Round 23,15.02.2025,Partizan,OFK Beograd Mozzart Bet,15.02.2025 | Partizan | OFK Beograd Mozzart Bet | 4 | 1
Round 23,15.02.2025,IMT Novi Beograd,Sp. Subotica,15.02.2025 | IMT Novi Beograd | Sp. Subotica | 1 | 2
Round 22,09.02.2025,Sp. Subotica,Zeleznicar Pancevo,09.02.2025 | Sp. Subotica | Zeleznicar Pancevo | 0 | 0
Round 22,09.02.2025,Radnicki Nis,IMT Novi Beograd,09.02.2025 | Radnicki Nis | IMT Novi Beograd | 3 | 0
Round 22,09.02.2025,OFK Beograd Mozzart Bet,Napredak,09.02.2025 | OFK Beograd Mozzart Bet | Napredak | 0 | 2
Round 22,09.02.2025,Jedinstvo U.,Novi Pazar,09.02.2025 | Jedinstvo U. | Novi Pazar | 0 | 1
Round 22,08.02.2025,Vojvodina,Partizan,08.02.2025 | Vojvodina | Partizan | 0 | 0
Round 22,08.02.2025,Crvena zvezda,Radnicki 1923,08.02.2025 | Crvena zvezda | Radnicki 1923 | 6 | 0
Round 22,08.02.2025,Mladost,TSC,08.02.2025 | Mladost | TSC | 4 | 1
Round 22,07.02.2025,Tekstilac Odzaci,Cukaricki,07.02.2025 | Tekstilac Odzaci | Cukaricki | 0 | 1
Round 21,03.02.2025,Radnicki 1923,OFK Beograd Mozzart Bet,03.02.2025 | Radnicki 1923 | OFK Beograd Mozzart Bet | 2 | 0
Round 21,02.02.2025,Zeleznicar Pancevo,Radnicki Nis,02.02.2025 | Zeleznicar Pancevo | Radnicki Nis | 0 | 0
Round 21,02.02.2025,TSC,Crvena zvezda,02.02.2025 | TSC | Crvena zvezda | 1 | 2
Round 21,02.02.2025,IMT Novi Beograd,Jedinstvo U.,02.02.2025 | IMT Novi Beograd | Jedinstvo U. | 2 | 0
Round 21,01.02.2025,Partizan,Sp. Subotica,01.02.2025 | Partizan | Sp. Subotica | 2 | 2
Round 21,01.02.2025,Novi Pazar,Tekstilac Odzaci,01.02.2025 | Novi Pazar | Tekstilac Odzaci | 2 | 3
Round 21,01.02.2025,Cukaricki,Mladost,01.02.2025 | Cukaricki | Mladost | 0 | 0
Round 21,31.01.2025,Napredak,Vojvodina,31.01.2025 | Napredak | Vojvodina | 1 | 1
Round 16,26.12.2024,IMT Novi Beograd,TSC,26.12.2024 | IMT Novi Beograd | TSC | 0 | 2
Round 20,23.12.2024,OFK Beograd Mozzart Bet,TSC,23.12.2024 | OFK Beograd Mozzart Bet | TSC | 2 | 2
Round 20,22.12.2024,Sp. Subotica,Napredak,22.12.2024 | Sp. Subotica | Napredak | 0 | 2
Round 20,22.12.2024,Crvena zvezda,Cukaricki,22.12.2024 | Crvena zvezda | Cukaricki | 5 | 2
Round 20,22.12.2024,Jedinstvo U.,Tekstilac Odzaci,22.12.2024 | Jedinstvo U. | Tekstilac Odzaci | 1 | 0
Round 20,21.12.2024,Radnicki Nis,Partizan,21.12.2024 | Radnicki Nis | Partizan | 0 | 1
Round 20,21.12.2024,Vojvodina,Radnicki 1923,21.12.2024 | Vojvodina | Radnicki 1923 | 3 | 2
Round 20,21.12.2024,IMT Novi Beograd,Zeleznicar Pancevo,21.12.2024 | IMT Novi Beograd | Zeleznicar Pancevo | 1 | 1
Round 20,20.12.2024,Mladost,Novi Pazar,20.12.2024 | Mladost | Novi Pazar | 1 | 3
Round 16,18.12.2024,Jedinstvo U.,Crvena zvezda,18.12.2024 | Jedinstvo U. | Crvena zvezda | 0 | 4
Round 19,16.12.2024,Partizan,IMT Novi Beograd,16.12.2024 | Partizan | IMT Novi Beograd | 1 | 1
Round 19,16.12.2024,Radnicki 1923,Sp. Subotica,16.12.2024 | Radnicki 1923 | Sp. Subotica | 2 | 0
Round 19,15.12.2024,TSC,Vojvodina,15.12.2024 | TSC | Vojvodina | 1 | 3
Round 19,15.12.2024,Novi Pazar,Crvena zvezda,15.12.2024 | Novi Pazar | Crvena zvezda | 1 | 7
Round 19,15.12.2024,Cukaricki,OFK Beograd Mozzart Bet,15.12.2024 | Cukaricki | OFK Beograd Mozzart Bet | 0 | 1
Round 19,15.12.2024,Napredak,Radnicki Nis,15.12.2024 | Napredak | Radnicki Nis | 2 | 1
Round 19,14.12.2024,Zeleznicar Pancevo,Jedinstvo U.,14.12.2024 | Zeleznicar Pancevo | Jedinstvo U. | 6 | 0
Round 19,14.12.2024,Tekstilac Odzaci,Mladost,14.12.2024 | Tekstilac Odzaci | Mladost | 1 | 0
Round 6,12.12.2024,Sp. Subotica,Partizan,12.12.2024 | Sp. Subotica | Partizan | 2 | 1
Round 18,09.12.2024,Radnicki Nis,Radnicki 1923,09.12.2024 | Radnicki Nis | Radnicki 1923 | 1 | 2
Round 18,09.12.2024,IMT Novi Beograd,Napredak,09.12.2024 | IMT Novi Beograd | Napredak | 3 | 2
Round 18,09.12.2024,OFK Beograd Mozzart Bet,Novi Pazar,09.12.2024 | OFK Beograd Mozzart Bet | Novi Pazar | 1 | 1
Round 18,08.12.2024,Zeleznicar Pancevo,Partizan,08.12.2024 | Zeleznicar Pancevo | Partizan | 0 | 1
Round 18,08.12.2024,Sp. Subotica,TSC,08.12.2024 | Sp. Subotica | TSC | 0 | 0
Round 18,08.12.2024,Vojvodina,Cukaricki,08.12.2024 | Vojvodina | Cukaricki | 0 | 1
Round 18,08.12.2024,Jedinstvo U.,Mladost,08.12.2024 | Jedinstvo U. | Mladost | 1 | 2
Round 18,07.12.2024,Crvena zvezda,Tekstilac Odzaci,07.12.2024 | Crvena zvezda | Tekstilac Odzaci | 6 | 0
Round 6,04.12.2024,Crvena zvezda,TSC,04.12.2024 | Crvena zvezda | TSC | 3 | 1
Round 5,04.12.2024,Partizan,Radnicki Nis,04.12.2024 | Partizan | Radnicki Nis | 3 | 1
Round 17,01.12.2024,TSC,Radnicki Nis,01.12.2024 | TSC | Radnicki Nis | 4 | 1
Round 17,30.11.2024,Mladost,Crvena zvezda,30.11.2024 | Mladost | Crvena zvezda | 0 | 2
Round 17,30.11.2024,Partizan,Jedinstvo U.,30.11.2024 | Partizan | Jedinstvo U. | 3 | 0
Round 17,30.11.2024,Napredak,Zeleznicar Pancevo,30.11.2024 | Napredak | Zeleznicar Pancevo | 1 | 2
Round 17,30.11.2024,Radnicki 1923,IMT Novi Beograd,30.11.2024 | Radnicki 1923 | IMT Novi Beograd | 1 | 3
Round 17,29.11.2024,Tekstilac Odzaci,OFK Beograd Mozzart Bet,29.11.2024 | Tekstilac Odzaci | OFK Beograd Mozzart Bet | 2 | 0
Round 17,29.11.2024,Cukaricki,Sp. Subotica,29.11.2024 | Cukaricki | Sp. Subotica | 1 | 2
Round 17,29.11.2024,Novi Pazar,Vojvodina,29.11.2024 | Novi Pazar | Vojvodina | 0 | 4
Round 16,24.11.2024,Zeleznicar Pancevo,Radnicki 1923,24.11.2024 | Zeleznicar Pancevo | Radnicki 1923 | 1 | 1
Round 16,24.11.2024,Partizan,Napredak,24.11.2024 | Partizan | Napredak | 0 | 0
Round 16,24.11.2024,OFK Beograd Mozzart Bet,Mladost,24.11.2024 | OFK Beograd Mozzart Bet | Mladost | 0 | 0
Round 16,23.11.2024,Vojvodina,Tekstilac Odzaci,23.11.2024 | Vojvodina | Tekstilac Odzaci | 0 | 0
Round 16,23.11.2024,Sp. Subotica,Novi Pazar,23.11.2024 | Sp. Subotica | Novi Pazar | 1 | 1
Round 16,23.11.2024,Radnicki Nis,Cukaricki,23.11.2024 | Radnicki Nis | Cukaricki | 2 | 2
Round 15,10.11.2024,OFK Beograd Mozzart Bet,Crvena zvezda,10.11.2024 | OFK Beograd Mozzart Bet | Crvena zvezda | 0 | 1
Round 15,10.11.2024,Partizan,Radnicki 1923,10.11.2024 | Partizan | Radnicki 1923 | 2 | 2
Round 15,10.11.2024,Zeleznicar Pancevo,TSC,10.11.2024 | Zeleznicar Pancevo | TSC | 3 | 3
Round 15,10.11.2024,Napredak,Jedinstvo U.,10.11.2024 | Napredak | Jedinstvo U. | 2 | 1
Round 15,09.11.2024,Vojvodina,Mladost,09.11.2024 | Vojvodina | Mladost | 0 | 0
Round 15,09.11.2024,Sp. Subotica,Tekstilac Odzaci,09.11.2024 | Sp. Subotica | Tekstilac Odzaci | 1 | 0
Round 15,09.11.2024,IMT Novi Beograd,Cukaricki,09.11.2024 | IMT Novi Beograd | Cukaricki | 1 | 1
Round 15,09.11.2024,Radnicki Nis,Novi Pazar,09.11.2024 | Radnicki Nis | Novi Pazar | 2 | 1
Round 14,04.11.2024,Cukaricki,Zeleznicar Pancevo,04.11.2024 | Cukaricki | Zeleznicar Pancevo | 2 | 0
Round 14,04.11.2024,Jedinstvo U.,OFK Beograd Mozzart Bet,04.11.2024 | Jedinstvo U. | OFK Beograd Mozzart Bet | 0 | 1
Round 14,04.11.2024,Mladost,Sp. Subotica,04.11.2024 | Mladost | Sp. Subotica | 0 | 0
Round 14,03.11.2024,TSC,Partizan,03.11.2024 | TSC | Partizan | 1 | 2
Round 14,03.11.2024,Crvena zvezda,Vojvodina,03.11.2024 | Crvena zvezda | Vojvodina | 3 | 0
Round 14,03.11.2024,Radnicki 1923,Napredak,03.11.2024 | Radnicki 1923 | Napredak | 1 | 0
Round 14,03.11.2024,Novi Pazar,IMT Novi Beograd,03.11.2024 | Novi Pazar | IMT Novi Beograd | 3 | 1
Round 14,03.11.2024,Tekstilac Odzaci,Radnicki Nis,03.11.2024 | Tekstilac Odzaci | Radnicki Nis | 1 | 3
Round 13,27.10.2024,Radnicki Nis,Mladost,27.10.2024 | Radnicki Nis | Mladost | 1 | 1
Round 13,27.10.2024,Napredak,TSC,27.10.2024 | Napredak | TSC | 0 | 3
Round 13,26.10.2024,Vojvodina,OFK Beograd Mozzart Bet,26.10.2024 | Vojvodina | OFK Beograd Mozzart Bet | 2 | 1
Round 13,26.10.2024,Sp. Subotica,Crvena zvezda,26.10.2024 | Sp. Subotica | Crvena zvezda | 1 | 5
Round 13,26.10.2024,Zeleznicar Pancevo,Novi Pazar,26.10.2024 | Zeleznicar Pancevo | Novi Pazar | 0 | 1
Round 13,26.10.2024,Partizan,Cukaricki,26.10.2024 | Partizan | Cukaricki | 3 | 1
Round 13,25.10.2024,Radnicki 1923,Jedinstvo U.,25.10.2024 | Radnicki 1923 | Jedinstvo U. | 4 | 0
Round 13,25.10.2024,IMT Novi Beograd,Tekstilac Odzaci,25.10.2024 | IMT Novi Beograd | Tekstilac Odzaci | 3 | 0
Round 12,21.10.2024,Novi Pazar,Partizan,21.10.2024 | Novi Pazar | Partizan | 3 | 4
Round 12,20.10.2024,Mladost,IMT Novi Beograd,20.10.2024 | Mladost | IMT Novi Beograd | 1 | 0
Round 12,19.10.2024,Jedinstvo U.,Vojvodina,19.10.2024 | Jedinstvo U. | Vojvodina | 1 | 1
Round 12,19.10.2024,Tekstilac Odzaci,Zeleznicar Pancevo,19.10.2024 | Tekstilac Odzaci | Zeleznicar Pancevo | 0 | 2
Round 12,19.10.2024,OFK Beograd Mozzart Bet,Sp. Subotica,19.10.2024 | OFK Beograd Mozzart Bet | Sp. Subotica | 1 | 1
Round 12,18.10.2024,TSC,Radnicki 1923,18.10.2024 | TSC | Radnicki 1923 | 0 | 2
Round 12,18.10.2024,Cukaricki,Napredak,18.10.2024 | Cukaricki | Napredak | 0 | 0
Round 12,18.10.2024,Crvena zvezda,Radnicki Nis,18.10.2024 | Crvena zvezda | Radnicki Nis | 5 | 1
Round 11,06.10.2024,TSC,Jedinstvo U.,06.10.2024 | TSC | Jedinstvo U. | 2 | 0
Round 11,06.10.2024,IMT Novi Beograd,Crvena zvezda,06.10.2024 | IMT Novi Beograd | Crvena zvezda | 1 | 3
Round 11,06.10.2024,Sp. Subotica,Vojvodina,06.10.2024 | Sp. Subotica | Vojvodina | 0 | 4
Round 11,06.10.2024,Napredak,Novi Pazar,06.10.2024 | Napredak | Novi Pazar | 2 | 1
Round 11,05.10.2024,Partizan,Tekstilac Odzaci,05.10.2024 | Partizan | Tekstilac Odzaci | 4 | 1
Round 11,05.10.2024,Zeleznicar Pancevo,Mladost,05.10.2024 | Zeleznicar Pancevo | Mladost | 1 | 2
Round 11,05.10.2024,Radnicki 1923,Cukaricki,05.10.2024 | Radnicki 1923 | Cukaricki | 1 | 1
