round,date,team_home,team_away,full_text
Round 24,08.03.2025,Cracovia,Radomiak Radom,08.03.2025 | Cracovia | Radomiak Radom | 1 | 2
Round 24,07.03.2025,Slask Wroclaw,Pogon Szczecin,07.03.2025 | Slask Wroclaw | Pogon Szczecin | 1 | 1
Round 24,07.03.2025,Korona Kielce,Puszcza,07.03.2025 | Korona Kielce | Puszcza | 2 | 1
Round 23,03.03.2025,Rakow,Lechia Gdansk,03.03.2025 | Rakow | Lechia Gdansk | 3 | 1
Round 23,02.03.2025,Jagiellonia,GKS Katowice,02.03.2025 | Jagiellonia | GKS Katowice | 1 | 0
Round 23,02.03.2025,Legia,Slask Wroclaw,02.03.2025 | Legia | Slask Wroclaw | 3 | 1
Round 23,02.03.2025,Puszcza,Motor Lublin,02.03.2025 | Puszcza | Motor Lublin | 0 | 1
Round 23,01.03.2025,Zaglebie,Piast Gliwice,01.03.2025 | Zaglebie | Piast Gliwice | 0 | 1
Round 23,01.03.2025,Pogon Szczecin,Lech Poznan,01.03.2025 | Pogon Szczecin | Lech Poznan | 0 | 3
Round 23,01.03.2025,Stal Mielec,Korona Kielce,01.03.2025 | Stal Mielec | Korona Kielce | 0 | 1
Round 23,28.02.2025,Gornik Zabrze,Cracovia,28.02.2025 | Gornik Zabrze | Cracovia | 0 | 1
Round 23,28.02.2025,Radomiak Radom,Widzew Lodz,28.02.2025 | Radomiak Radom | Widzew Lodz | 1 | 1
Round 22,24.02.2025,Motor Lublin,GKS Katowice,24.02.2025 | Motor Lublin | GKS Katowice | 3 | 2
Round 22,23.02.2025,Lech Poznan,Zaglebie,23.02.2025 | Lech Poznan | Zaglebie | 3 | 1
Round 22,23.02.2025,Cracovia,Jagiellonia,23.02.2025 | Cracovia | Jagiellonia | 2 | 2
Round 22,23.02.2025,Lechia Gdansk,Puszcza,23.02.2025 | Lechia Gdansk | Puszcza | 0 | 2
Round 22,22.02.2025,Radomiak Radom,Legia,22.02.2025 | Radomiak Radom | Legia | 3 | 1
Round 22,22.02.2025,Widzew Lodz,Pogon Szczecin,22.02.2025 | Widzew Lodz | Pogon Szczecin | 0 | 4
Round 22,22.02.2025,Korona Kielce,Slask Wroclaw,22.02.2025 | Korona Kielce | Slask Wroclaw | 2 | 0
Round 22,21.02.2025,Rakow,Gornik Zabrze,21.02.2025 | Rakow | Gornik Zabrze | 1 | 0
Round 22,21.02.2025,Piast Gliwice,Stal Mielec,21.02.2025 | Piast Gliwice | Stal Mielec | 2 | 2
Round 21,17.02.2025,Zaglebie,Lechia Gdansk,17.02.2025 | Zaglebie | Lechia Gdansk | 1 | 3
Round 21,16.02.2025,Jagiellonia,Motor Lublin,16.02.2025 | Jagiellonia | Motor Lublin | 3 | 0
Round 21,16.02.2025,GKS Katowice,Piast Gliwice,16.02.2025 | GKS Katowice | Piast Gliwice | 0 | 0
Round 21,16.02.2025,Stal Mielec,Pogon Szczecin,16.02.2025 | Stal Mielec | Pogon Szczecin | 1 | 2
Round 21,15.02.2025,Legia,Puszcza,15.02.2025 | Legia | Puszcza | 2 | 0
Round 21,15.02.2025,Gornik Zabrze,Radomiak Radom,15.02.2025 | Gornik Zabrze | Radomiak Radom | 3 | 2
Round 21,15.02.2025,Slask Wroclaw,Widzew Lodz,15.02.2025 | Slask Wroclaw | Widzew Lodz | 3 | 0
Round 21,14.02.2025,Lech Poznan,Rakow,14.02.2025 | Lech Poznan | Rakow | 0 | 1
Round 21,14.02.2025,Cracovia,Korona Kielce,14.02.2025 | Cracovia | Korona Kielce | 1 | 1
Round 20,10.02.2025,Puszcza,Zaglebie,10.02.2025 | Puszcza | Zaglebie | 1 | 2
Round 20,09.02.2025,Lechia Gdansk,Lech Poznan,09.02.2025 | Lechia Gdansk | Lech Poznan | 1 | 0
Round 20,09.02.2025,Widzew Lodz,Cracovia,09.02.2025 | Widzew Lodz | Cracovia | 1 | 1
Round 20,09.02.2025,Korona Kielce,Motor Lublin,09.02.2025 | Korona Kielce | Motor Lublin | 1 | 0
Round 20,08.02.2025,Piast Gliwice,Legia,08.02.2025 | Piast Gliwice | Legia | 1 | 0
Round 20,08.02.2025,Rakow,GKS Katowice,08.02.2025 | Rakow | GKS Katowice | 1 | 2
Round 20,08.02.2025,Radomiak Radom,Slask Wroclaw,08.02.2025 | Radomiak Radom | Slask Wroclaw | 1 | 1
Round 20,07.02.2025,Pogon Szczecin,Gornik Zabrze,07.02.2025 | Pogon Szczecin | Gornik Zabrze | 3 | 0
Round 20,07.02.2025,Stal Mielec,Jagiellonia,07.02.2025 | Stal Mielec | Jagiellonia | 2 | 1
Round 19,03.02.2025,Slask Wroclaw,Piast Gliwice,03.02.2025 | Slask Wroclaw | Piast Gliwice | 1 | 3
Round 19,02.02.2025,Legia,Korona Kielce,02.02.2025 | Legia | Korona Kielce | 1 | 1
Round 19,02.02.2025,Jagiellonia,Radomiak Radom,02.02.2025 | Jagiellonia | Radomiak Radom | 5 | 0
Round 19,02.02.2025,Gornik Zabrze,Puszcza,02.02.2025 | Gornik Zabrze | Puszcza | 1 | 1
Round 19,01.02.2025,Pogon Szczecin,Zaglebie,01.02.2025 | Pogon Szczecin | Zaglebie | 1 | 0
Round 19,01.02.2025,Cracovia,Rakow,01.02.2025 | Cracovia | Rakow | 0 | 0
Round 19,01.02.2025,Motor Lublin,Lechia Gdansk,01.02.2025 | Motor Lublin | Lechia Gdansk | 1 | 1
Round 19,31.01.2025,Lech Poznan,Widzew Lodz,31.01.2025 | Lech Poznan | Widzew Lodz | 4 | 1
Round 19,31.01.2025,GKS Katowice,Stal Mielec,31.01.2025 | GKS Katowice | Stal Mielec | 1 | 0
Round 3,14.12.2024,Slask Wroclaw,Radomiak Radom,14.12.2024 | Slask Wroclaw | Radomiak Radom | 1 | 2
Round 18,09.12.2024,Korona Kielce,Pogon Szczecin,09.12.2024 | Korona Kielce | Pogon Szczecin | 0 | 0
Round 18,08.12.2024,Zaglebie,Legia,08.12.2024 | Zaglebie | Legia | 0 | 3
Round 18,08.12.2024,Puszcza,Jagiellonia,08.12.2024 | Puszcza | Jagiellonia | 1 | 1
Round 18,08.12.2024,Piast Gliwice,Cracovia,08.12.2024 | Piast Gliwice | Cracovia | 0 | 0
Round 18,07.12.2024,Rakow,Motor Lublin,07.12.2024 | Rakow | Motor Lublin | 2 | 2
Round 18,07.12.2024,Widzew Lodz,Stal Mielec,07.12.2024 | Widzew Lodz | Stal Mielec | 2 | 1
Round 18,07.12.2024,Lechia Gdansk,Slask Wroclaw,07.12.2024 | Lechia Gdansk | Slask Wroclaw | 1 | 0
Round 18,06.12.2024,Gornik Zabrze,Lech Poznan,06.12.2024 | Gornik Zabrze | Lech Poznan | 2 | 1
Round 18,06.12.2024,Radomiak Radom,GKS Katowice,06.12.2024 | Radomiak Radom | GKS Katowice | 1 | 1
Round 17,02.12.2024,Motor Lublin,Radomiak Radom,02.12.2024 | Motor Lublin | Radomiak Radom | 1 | 0
Round 17,01.12.2024,Stal Mielec,Legia,01.12.2024 | Stal Mielec | Legia | 2 | 2
Round 17,01.12.2024,Pogon Szczecin,Jagiellonia,01.12.2024 | Pogon Szczecin | Jagiellonia | 1 | 1
Round 17,01.12.2024,Korona Kielce,Gornik Zabrze,01.12.2024 | Korona Kielce | Gornik Zabrze | 2 | 4
