round,date,team_home,team_away,full_text
Round 12,07.02.2025,El Gaish,El Gouna,07.02.2025 | El Gaish | El Gouna | 0 | 0
Round 12,07.02.2025,Zamalek,El Ismaily,07.02.2025 | Zamalek | El Ismaily | 2 | 0
Round 12,07.02.2025,Haras El Hodood,Enppi,07.02.2025 | Haras El Hodood | Enppi | 1 | 0
Round 12,07.02.2025,Smouha,Pyramids,07.02.2025 | Smouha | Pyramids | 0 | 1
Round 12,06.02.2025,Al Ahly,Petrojet,06.02.2025 | Al Ahly | Petrojet | 2 | 1
Round 12,06.02.2025,Ceramica Cleopatra,Pharco,06.02.2025 | Ceramica Cleopatra | Pharco | 1 | 2
Round 12,06.02.2025,Ghazl El Mahallah,Modern Sport,06.02.2025 | Ghazl El Mahallah | Modern Sport | 2 | 1
Round 11,02.02.2025,Modern Sport,Al Ahly,02.02.2025 | Modern Sport | Al Ahly | 1 | 3
Round 11,02.02.2025,Ceramica Cleopatra,Smouha,02.02.2025 | Ceramica Cleopatra | Smouha | 0 | 1
Round 11,01.02.2025,Petrojet,Al Ittihad,01.02.2025 | Petrojet | Al Ittihad | 0 | 0
Round 11,01.02.2025,Pharco,Ghazl El Mahallah,01.02.2025 | Pharco | Ghazl El Mahallah | 3 | 2
Round 11,01.02.2025,Enppi,National Bank Egypt,01.02.2025 | Enppi | National Bank Egypt | 0 | 1
Round 11,01.02.2025,ZED,Al Masry,01.02.2025 | ZED | Al Masry | 1 | 1
Round 11,31.01.2025,Pyramids,Zamalek,31.01.2025 | Pyramids | Zamalek | 3 | 0
Round 11,31.01.2025,El Gouna,Haras El Hodood,31.01.2025 | El Gouna | Haras El Hodood | 0 | 1
Round 11,31.01.2025,El Ismaily,El Gaish,31.01.2025 | El Ismaily | El Gaish | 1 | 2
Round 10,28.01.2025,Smouha,ZED,28.01.2025 | Smouha | ZED | 2 | 1
Round 10,28.01.2025,National Bank Egypt,Petrojet,28.01.2025 | National Bank Egypt | Petrojet | 0 | 2
Round 10,27.01.2025,Al Masry,Enppi,27.01.2025 | Al Masry | Enppi | 2 | 1
Round 10,27.01.2025,Haras El Hodood,Modern Sport,27.01.2025 | Haras El Hodood | Modern Sport | 1 | 0
Round 10,27.01.2025,Zamalek,El Gouna,27.01.2025 | Zamalek | El Gouna | 4 | 1
Round 10,26.01.2025,Al Ahly,Pyramids,26.01.2025 | Al Ahly | Pyramids | 2 | 2
Round 10,26.01.2025,Ghazl El Mahallah,Ceramica Cleopatra,26.01.2025 | Ghazl El Mahallah | Ceramica Cleopatra | 0 | 1
Round 10,26.01.2025,Al Ittihad,El Ismaily,26.01.2025 | Al Ittihad | El Ismaily | 1 | 0
Round 10,26.01.2025,El Gaish,Pharco,26.01.2025 | El Gaish | Pharco | 0 | 0
Round 9,23.01.2025,Modern Sport,Zamalek,23.01.2025 | Modern Sport | Zamalek | 1 | 0
Round 9,23.01.2025,Petrojet,Al Masry,23.01.2025 | Petrojet | Al Masry | 2 | 1
Round 9,22.01.2025,Ceramica Cleopatra,Al Ittihad,22.01.2025 | Ceramica Cleopatra | Al Ittihad | 1 | 1
Round 9,22.01.2025,ZED,Pyramids,22.01.2025 | ZED | Pyramids | 0 | 1
Round 9,22.01.2025,Pharco,Al Ahly,22.01.2025 | Pharco | Al Ahly | 1 | 1
Round 9,21.01.2025,El Ismaily,Smouha,21.01.2025 | El Ismaily | Smouha | 1 | 0
Round 9,21.01.2025,Enppi,El Gaish,21.01.2025 | Enppi | El Gaish | 0 | 1
Round 9,21.01.2025,El Gouna,National Bank Egypt,21.01.2025 | El Gouna | National Bank Egypt | 2 | 1 | 2
Round 9,21.01.2025,Ghazl El Mahallah,Haras El Hodood,21.01.2025 | Ghazl El Mahallah | Haras El Hodood | 0 | 1
Round 8,16.01.2025,Al Masry,Pharco,16.01.2025 | Al Masry | Pharco | 1 | 0
