round,date,team_home,team_away,full_text
Round 25,19.02.2025,Sunshine Stars,Kano Pillars,19.02.2025 | Sunshine Stars | Kano Pillars | 1 | 1
Round 25,19.02.2025,El Kanemi,Bendel,19.02.2025 | El Kanemi | Bendel | 0 | 0
Round 24,16.02.2025,Bendel,Niger Tornadoes,16.02.2025 | Bendel | Niger Tornadoes | 3 | 0
Round 24,16.02.2025,Heartland,Shooting,16.02.2025 | Heartland | Shooting | 2 | 1
Round 24,16.02.2025,Rangers Int'l,Remo Stars,16.02.2025 | Rangers Int'l | Remo Stars | 2 | 1
Round 24,15.02.2025,Sunshine Stars,Akwa United,15.02.2025 | Sunshine Stars | Akwa United | 1 | 0
Round 24,15.02.2025,Kano Pillars,Abia Warriors,15.02.2025 | Kano Pillars | Abia Warriors | 1 | 0
Round 24,15.02.2025,Kwara,Bayelsa United,15.02.2025 | Kwara | Bayelsa United | 1 | 0
Round 24,15.02.2025,Lobi Stars,Katsina Utd,15.02.2025 | Lobi Stars | Katsina Utd | 1 | 1
Round 24,15.02.2025,Nasarawa,Ikorodu City,15.02.2025 | Nasarawa | Ikorodu City | 0 | 0
Round 24,15.02.2025,Plateau United,El Kanemi,15.02.2025 | Plateau United | El Kanemi | 2 | 0
Round 24,15.02.2025,Enyimba,Rivers United,15.02.2025 | Enyimba | Rivers United | 1 | 0
Round 20,12.02.2025,Bendel,Enyimba,12.02.2025 | Bendel | Enyimba | 1 | 0
Round 20,12.02.2025,Kwara,Shooting,12.02.2025 | Kwara | Shooting | 2 | 0
Round 20,12.02.2025,Kano Pillars,El Kanemi,12.02.2025 | Kano Pillars | El Kanemi | 2 | 1
Round 23,09.02.2025,Ikorodu City,Kwara,09.02.2025 | Ikorodu City | Kwara | 2 | 1
Round 23,09.02.2025,Abia Warriors,Sunshine Stars,09.02.2025 | Abia Warriors | Sunshine Stars | 3 | 0
Round 23,09.02.2025,Akwa United,Enyimba,09.02.2025 | Akwa United | Enyimba | 2 | 1
Round 23,09.02.2025,Bayelsa United,Rangers Int'l,09.02.2025 | Bayelsa United | Rangers Int'l | 0 | 0
Round 23,09.02.2025,Rivers United,Lobi Stars,09.02.2025 | Rivers United | Lobi Stars | 1 | 0
Round 23,09.02.2025,Niger Tornadoes,Plateau United,09.02.2025 | Niger Tornadoes | Plateau United | 1 | 1
