round,date,team_home,team_away,full_text
Round 12,19.01.2025,Sonacos,Jamono Fatick,19.01.2025 | Sonacos | Jamono Fatick | 1 | 1
Round 12,19.01.2025,Casa,Teungueth,19.01.2025 | Casa | Teungueth | 0 | 0
Round 12,18.01.2025,AJEL,Dakar SC,18.01.2025 | AJEL | Dakar SC | 2 | 1
Round 11,12.01.2025,Generation F.,AJEL,12.01.2025 | Generation F. | AJEL | 1 | 0
Round 11,11.01.2025,US Goree,Teungueth,11.01.2025 | US Goree | Teungueth | 1 | 0
Round 11,11.01.2025,Sonacos,Wally Daan,11.01.2025 | Sonacos | Wally Daan | 0 | 1
Round 11,11.01.2025,Dakar SC,Linguere,11.01.2025 | Dakar SC | Linguere | 0 | 0
Round 11,11.01.2025,Jamono Fatick,Ouakam,11.01.2025 | Jamono Fatick | Ouakam | 0 | 1
Round 11,11.01.2025,Oslo Football Academy,ASC HLM,11.01.2025 | Oslo Football Academy | ASC HLM | 1 | 0
Round 10,05.01.2025,ASC HLM,AJEL,05.01.2025 | ASC HLM | AJEL | 0 | 1
Round 10,05.01.2025,Casa,Pikine,05.01.2025 | Casa | Pikine | 1 | 0
Round 10,05.01.2025,Linguere,Generation F.,05.01.2025 | Linguere | Generation F. | 1 | 2
Round 10,04.01.2025,Wally Daan,Ouakam,04.01.2025 | Wally Daan | Ouakam | 0 | 0
Round 10,04.01.2025,Dakar SC,US Goree,04.01.2025 | Dakar SC | US Goree | 0 | 1
Round 10,04.01.2025,Guediawaye,Jamono Fatick,04.01.2025 | Guediawaye | Jamono Fatick | 2 | 0
Round 10,04.01.2025,Oslo Football Academy,Sonacos,04.01.2025 | Oslo Football Academy | Sonacos | 3 | 2
Round 8,31.12.2024,Jaraaf,Pikine,31.12.2024 | Jaraaf | Pikine | 0 | 0
Round 7,26.12.2024,Jamono Fatick,Jaraaf,26.12.2024 | Jamono Fatick | Jaraaf | 0 | 2
Round 9,23.12.2024,US Goree,Jaraaf,23.12.2024 | US Goree | Jaraaf | 2 | 0
Round 9,22.12.2024,ASC HLM,Linguere,22.12.2024 | ASC HLM | Linguere | 1 | 2
Round 9,22.12.2024,Ouakam,Oslo Football Academy,22.12.2024 | Ouakam | Oslo Football Academy | 0 | 1
Round 9,22.12.2024,Pikine,Teungueth,22.12.2024 | Pikine | Teungueth | 1 | 0
Round 9,22.12.2024,Generation F.,Dakar SC,22.12.2024 | Generation F. | Dakar SC | 0 | 1
Round 9,21.12.2024,Wally Daan,Guediawaye,21.12.2024 | Wally Daan | Guediawaye | 1 | 0
Round 9,21.12.2024,Sonacos,AJEL,21.12.2024 | Sonacos | AJEL | 2 | 2
Round 9,21.12.2024,Jamono Fatick,Casa,21.12.2024 | Jamono Fatick | Casa | 3 | 2
Round 8,16.12.2024,Teungueth,Jamono Fatick,16.12.2024 | Teungueth | Jamono Fatick | 0 | 0
Round 8,15.12.2024,Generation F.,US Goree,15.12.2024 | Generation F. | US Goree | 1 | 1
Round 8,15.12.2024,AJEL,Ouakam,15.12.2024 | AJEL | Ouakam | 0 | 0
Round 8,15.12.2024,Casa,Wally Daan,15.12.2024 | Casa | Wally Daan | 0 | 1
Round 8,15.12.2024,Linguere,Sonacos,15.12.2024 | Linguere | Sonacos | 0 | 1
Round 8,14.12.2024,Dakar SC,ASC HLM,14.12.2024 | Dakar SC | ASC HLM | 0 | 1
Round 8,14.12.2024,Guediawaye,Oslo Football Academy,14.12.2024 | Guediawaye | Oslo Football Academy | 1 | 1
Round 7,07.12.2024,Wally Daan,Teungueth,07.12.2024 | Wally Daan | Teungueth | 1 | 1
Round 7,07.12.2024,ASC HLM,Generation F.,07.12.2024 | ASC HLM | Generation F. | 0 | 0
Round 7,07.12.2024,Sonacos,Dakar SC,07.12.2024 | Sonacos | Dakar SC | 0 | 0
