round,date,team_home,team_away,full_text
14,20.07.2025,Tromso,Bryne,20.07.2025 | Tromso | Bryne | 3 | 1
14,20.07.2025,Valerenga,Haugesund,20.07.2025 | Valerenga | Haugesund | 3 | 0
14,19.07.2025,Viking,Bodo/Glimt,19.07.2025 | Viking | Bodo/Glimt | 2 | 4
14,19.07.2025,Molde,Stromsgodset,19.07.2025 | Molde | Stromsgodset | 4 | 1
14,19.07.2025,KFUM Oslo,Brann,19.07.2025 | KFUM Oslo | Brann | 2 | 0
14,18.07.2025,Sarpsborg 08,Rosenborg,18.07.2025 | Sarpsborg 08 | Rosenborg | 2 | 2
5,16.07.2025,Fredrikstad,Bodo/Glimt,16.07.2025 | Fredrikstad | Bodo/Glimt | 0 | 1
13,13.07.2025,Brann,Viking,13.07.2025 | Brann | Viking | 3 | 1
13,13.07.2025,Haugesund,KFUM Oslo,13.07.2025 | Haugesund | KFUM Oslo | 0 | 2
13,13.07.2025,Kristiansund,Sarpsborg 08,13.07.2025 | Kristiansund | Sarpsborg 08 | 0 | 0
13,13.07.2025,Rosenborg,HamKam,13.07.2025 | Rosenborg | HamKam | 2 | 0
13,13.07.2025,Stromsgodset,Tromso,13.07.2025 | Stromsgodset | Tromso | 2 | 3
13,13.07.2025,Bryne,Valerenga,13.07.2025 | Bryne | Valerenga | 1 | 0
13,12.07.2025,Fredrikstad,Molde,12.07.2025 | Fredrikstad | Molde | 4 | 2
13,12.07.2025,Bodo/Glimt,Sandefjord,12.07.2025 | Bodo/Glimt | Sandefjord | 2 | 0
12,06.07.2025,KFUM Oslo,Bryne,06.07.2025 | KFUM Oslo | Bryne | 1 | 1
12,06.07.2025,Sandefjord,Rosenborg,06.07.2025 | Sandefjord | Rosenborg | 2 | 0
12,06.07.2025,Sarpsborg 08,Haugesund,06.07.2025 | Sarpsborg 08 | Haugesund | 3 | 1
12,05.07.2025,Tromso,Molde,05.07.2025 | Tromso | Molde | 1 | 0
12,05.07.2025,Kristiansund,Bodo/Glimt,05.07.2025 | Kristiansund | Bodo/Glimt | 1 | 1
12,05.07.2025,Valerenga,Fredrikstad,05.07.2025 | Valerenga | Fredrikstad | 1 | 1
12,05.07.2025,Viking,Stromsgodset,05.07.2025 | Viking | Stromsgodset | 1 | 0
12,05.07.2025,HamKam,Brann,05.07.2025 | HamKam | Brann | 1 | 1
11,30.06.2025,Brann,Sandefjord,30.06.2025 | Brann | Sandefjord | 1 | 0
11,29.06.2025,Stromsgodset,Valerenga,29.06.2025 | Stromsgodset | Valerenga | 0 | 2
11,29.06.2025,Bodo/Glimt,Sarpsborg 08,29.06.2025 | Bodo/Glimt | Sarpsborg 08 | 1 | 2
11,29.06.2025,Bryne,HamKam,29.06.2025 | Bryne | HamKam | 1 | 1
11,29.06.2025,Fredrikstad,Tromso,29.06.2025 | Fredrikstad | Tromso | 0 | 1
11,29.06.2025,Molde,KFUM Oslo,29.06.2025 | Molde | KFUM Oslo | 2 | 3
11,29.06.2025,Haugesund,Kristiansund,29.06.2025 | Haugesund | Kristiansund | 0 | 0
11,28.06.2025,Rosenborg,Viking,28.06.2025 | Rosenborg | Viking | 1 | 1
10,22.06.2025,Viking,Fredrikstad,22.06.2025 | Viking | Fredrikstad | 3 | 0
10,22.06.2025,HamKam,Tromso,22.06.2025 | HamKam | Tromso | 1 | 3
