round,date,team_home,team_away,full_text
16,01.02.2025,Olympique Sport,ISCA,01.02.2025 | Olympique Sport | ISCA | 1 | 2
16,01.02.2025,Bouake,Mouna,01.02.2025 | Bouake | Mouna | 0 | 1
16,01.02.2025,SO Armee,AS Denguele,01.02.2025 | SO Armee | AS Denguele | 0 | 1
16,01.02.2025,Stade d'Abidjan,San Pedro,01.02.2025 | Stade d'Abidjan | San Pedro | 1 | 0
15,31.12.2024,Stella Adjame,AS Denguele,31.12.2024 | Stella Adjame | AS Denguele | 1 | 1
15,31.12.2024,ASEC Mimosas,SO Armee,31.12.2024 | ASEC Mimosas | SO Armee | 3 | 1
15,31.12.2024,ISCA,Academie de FAD,31.12.2024 | ISCA | Academie de FAD | 2 | 1
15,31.12.2024,Mouna,Racing d'Abidjan,31.12.2024 | Mouna | Racing d'Abidjan | 2 | 0
15,31.12.2024,SOL,Bouake,31.12.2024 | SOL | Bouake | 0 | 2
15,31.12.2024,Zoman,Korhogo,31.12.2024 | Zoman | 2 | Korhogo | 1 | 2
15,30.12.2024,San Pedro,Olympique Sport,30.12.2024 | San Pedro | Olympique Sport | 2 | 1
15,30.12.2024,Lys Sassandra,Stade d'Abidjan,30.12.2024 | Lys Sassandra | Stade d'Abidjan | 1 | 4
14,28.12.2024,Bouake,ASEC Mimosas,28.12.2024 | Bouake | ASEC Mimosas | 0 | 0
14,27.12.2024,Stade d'Abidjan,Zoman,27.12.2024 | Stade d'Abidjan | Zoman | 3 | 2
13,24.12.2024,ASEC Mimosas,AS Denguele,24.12.2024 | ASEC Mimosas | AS Denguele | 2 | 0
10,24.12.2024,Korhogo,Stade d'Abidjan,24.12.2024 | Korhogo | Stade d'Abidjan | 2 | 2
13,21.12.2024,Stade d'Abidjan,Mouna,21.12.2024 | Stade d'Abidjan | Mouna | 1 | 1
12,19.12.2024,ASEC Mimosas,Lys Sassandra,19.12.2024 | ASEC Mimosas | Lys Sassandra | 2 | 0
12,18.12.2024,Academie de FAD,Stade d'Abidjan,18.12.2024 | Academie de FAD | Stade d'Abidjan | 1 | 3
3,18.12.2024,ISCA,SOL,18.12.2024 | ISCA | SOL | 1 | 2
14,13.12.2024,Olympique Sport,Lys Sassandra,13.12.2024 | Olympique Sport | Lys Sassandra | 0 | 0
14,13.12.2024,Korhogo,Mouna,13.12.2024 | Korhogo | Mouna | 1 | 1
14,13.12.2024,Racing d'Abidjan,San Pedro,13.12.2024 | Racing d'Abidjan | San Pedro | 0 | 3
14,12.12.2024,AS Denguele,ISCA,12.12.2024 | AS Denguele | ISCA | 0 | 1
14,12.12.2024,Academie de FAD,SOL,12.12.2024 | Academie de FAD | SOL | 2 | 3
14,12.12.2024,SO Armee,Stella Adjame,12.12.2024 | SO Armee | Stella Adjame | 1 | 2
13,09.12.2024,ISCA,Korhogo,09.12.2024 | ISCA | Korhogo | 1 | 1
13,09.12.2024,SOL,Olympique Sport,09.12.2024 | SOL | Olympique Sport | 2 | 2
13,08.12.2024,San Pedro,SO Armee,08.12.2024 | San Pedro | SO Armee | 4 | 1
13,08.12.2024,Lys Sassandra,Racing d'Abidjan,08.12.2024 | Lys Sassandra | Racing d'Abidjan | 0 | 1
13,08.12.2024,Stella Adjame,Academie de FAD,08.12.2024 | Stella Adjame | Academie de FAD | 0 | 1
13,08.12.2024,Zoman,Bouake,08.12.2024 | Zoman | Bouake | 1 | 0
12,05.12.2024,Racing d'Abidjan,Olympique Sport,05.12.2024 | Racing d'Abidjan | Olympique Sport | 0 | 0
12,05.12.2024,SO Armee,SOL,05.12.2024 | SO Armee | SOL | 3 | 0
12,04.12.2024,Mouna,ISCA,04.12.2024 | Mouna | ISCA | 1 | 1
12,04.12.2024,Bouake,San Pedro,04.12.2024 | Bouake | San Pedro | 0 | 6
12,04.12.2024,Korhogo,Stella Adjame,04.12.2024 | Korhogo | Stella Adjame | 1 | 4
12,03.12.2024,AS Denguele,Zoman,03.12.2024 | AS Denguele | Zoman | 1 | 2
11,01.12.2024,ISCA,SO Armee,01.12.2024 | ISCA | SO Armee | 0 | 1
11,01.12.2024,Olympique Sport,Korhogo,01.12.2024 | Olympique Sport | Korhogo | 0 | 2
11,01.12.2024,San Pedro,Academie de FAD,01.12.2024 | San Pedro | Academie de FAD | 2 | 3
11,01.12.2024,SOL,ASEC Mimosas,01.12.2024 | SOL | ASEC Mimosas | 1 | 1
11,01.12.2024,Stade d'Abidjan,Bouake,01.12.2024 | Stade d'Abidjan | Bouake | 0 | 2
11,30.11.2024,Lys Sassandra,AS Denguele,30.11.2024 | Lys Sassandra | AS Denguele | 1 | 0
11,30.11.2024,Stella Adjame,Mouna,30.11.2024 | Stella Adjame | Mouna | 1 | 1
11,28.11.2024,Zoman,Racing d'Abidjan,28.11.2024 | Zoman | Racing d'Abidjan | 2 | 1
10,22.11.2024,AS Denguele,San Pedro,22.11.2024 | AS Denguele | San Pedro | 0 | 1
10,22.11.2024,ASEC Mimosas,ISCA,22.11.2024 | ASEC Mimosas | ISCA | 1 | 1
10,22.11.2024,Bouake,Stella Adjame,22.11.2024 | Bouake | Stella Adjame | 1 | 3
10,22.11.2024,Mouna,Zoman,22.11.2024 | Mouna | Zoman | 1 | 2
10,22.11.2024,SO Armee,Olympique Sport,22.11.2024 | SO Armee | Olympique Sport | 0 | 0
10,18.11.2024,Academie de FAD,Lys Sassandra,18.11.2024 | Academie de FAD | Lys Sassandra | 0 | 0
10,17.11.2024,Racing d'Abidjan,SOL,17.11.2024 | Racing d'Abidjan | SOL | 1 | 5
9,14.11.2024,SOL,Mouna,14.11.2024 | SOL | Mouna | 1 | 2
9,14.11.2024,Lys Sassandra,SO Armee,14.11.2024 | Lys Sassandra | SO Armee | 0 | 0
9,14.11.2024,Racing d'Abidjan,Korhogo,14.11.2024 | Racing d'Abidjan | Korhogo | 1 | 0
9,14.11.2024,San Pedro,ASEC Mimosas,14.11.2024 | San Pedro | ASEC Mimosas | 0 | 1
9,14.11.2024,Stade d'Abidjan,Stella Adjame,14.11.2024 | Stade d'Abidjan | Stella Adjame | 0 | 0
9,13.11.2024,Olympique Sport,Bouake,13.11.2024 | Olympique Sport | Bouake | 0 | 0
9,13.11.2024,Academie de FAD,AS Denguele,13.11.2024 | Academie de FAD | AS Denguele | 2 | 0
9,13.11.2024,ISCA,Zoman,13.11.2024 | ISCA | Zoman | 1 | 1
8,10.11.2024,ASEC Mimosas,Stade d'Abidjan,10.11.2024 | ASEC Mimosas | Stade d'Abidjan | 0 | 1
8,10.11.2024,Korhogo,Lys Sassandra,10.11.2024 | Korhogo | Lys Sassandra | 0 | 0
8,10.11.2024,Stella Adjame,ISCA,10.11.2024 | Stella Adjame | ISCA | 2 | 1
