round,date,team_home,team_away,full_text
5,16.03.2025,Suwon FC,Ulsan HD,16.03.2025 | Suwon FC | Ulsan HD | 1 | 1
5,15.03.2025,Daegu,Anyang,15.03.2025 | Daegu | Anyang | 0 | 1
5,15.03.2025,Gangwon,Seoul,15.03.2025 | Gangwon | Seoul | 0 | 1
5,15.03.2025,Jeju SK,Daejeon,15.03.2025 | Jeju SK | Daejeon | 1 | 3
4,09.03.2025,Jeonbuk,Gangwon,09.03.2025 | Jeonbuk | Gangwon | 0 | 1
4,09.03.2025,Ulsan HD,Jeju SK,09.03.2025 | Ulsan HD | Jeju SK | 2 | 0
4,08.03.2025,Anyang,Gimcheon Sangmu,08.03.2025 | Anyang | Gimcheon Sangmu | 1 | 3
4,08.03.2025,Daegu,Daejeon,08.03.2025 | Daegu | Daejeon | 1 | 2
4,08.03.2025,Suwon FC,Seoul,08.03.2025 | Suwon FC | Seoul | 0 | 0
3,03.03.2025,Seoul,Gimcheon Sangmu,03.03.2025 | Seoul | Gimcheon Sangmu | 0 | 0
3,02.03.2025,Gangwon,Jeju SK,02.03.2025 | Gangwon | Jeju SK | 0 | 0
3,02.03.2025,Daejeon,Suwon FC,02.03.2025 | Daejeon | Suwon FC | 1 | 0
3,01.03.2025,Gwangju FC,Anyang,01.03.2025 | Gwangju FC | Anyang | 2 | 1
3,01.03.2025,Pohang,Daegu,01.03.2025 | Pohang | Daegu | 0 | 0
3,01.03.2025,Ulsan HD,Jeonbuk,01.03.2025 | Ulsan HD | Jeonbuk | 1 | 0
2,23.02.2025,Gangwon,Pohang,23.02.2025 | Gangwon | Pohang | 2 | 1
2,23.02.2025,Jeonbuk,Gwangju FC,23.02.2025 | Jeonbuk | Gwangju FC | 2 | 2
2,23.02.2025,Daejeon,Ulsan HD,23.02.2025 | Daejeon | Ulsan HD | 0 | 2
2,22.02.2025,Daegu,Suwon FC,22.02.2025 | Daegu | Suwon FC | 3 | 1
2,22.02.2025,Seoul,Anyang,22.02.2025 | Seoul | Anyang | 2 | 1
2,22.02.2025,Jeju SK,Gimcheon Sangmu,22.02.2025 | Jeju SK | Gimcheon Sangmu | 2 | 3
1,16.02.2025,Daegu,Gangwon,16.02.2025 | Daegu | Gangwon | 2 | 1
1,16.02.2025,Jeonbuk,Gimcheon Sangmu,16.02.2025 | Jeonbuk | Gimcheon Sangmu | 2 | 1
1,16.02.2025,Ulsan HD,Anyang,16.02.2025 | Ulsan HD | Anyang | 0 | 1
1,15.02.2025,Gwangju FC,Suwon FC,15.02.2025 | Gwangju FC | Suwon FC | 0 | 0
1,15.02.2025,Jeju SK,Seoul,15.02.2025 | Jeju SK | Seoul | 2 | 0
1,15.02.2025,Pohang,Daejeon,15.02.2025 | Pohang | Daejeon | 0 | 3
