round,date,team_home,team_away,full_text
13,29.06.2025,Varnamo,Elfsborg,29.06.2025 | Varnamo | Elfsborg | 0 | 0
13,29.06.2025,AIK,Goteborg,29.06.2025 | AIK | Goteborg | 3 | 0
13,29.06.2025,Degerfors,Brommapojkarna,29.06.2025 | Degerfors | Brommapojkarna | 0 | 3
13,28.06.2025,Oster,Sirius,28.06.2025 | Oster | Sirius | 2 | 2
13,28.06.2025,Hammarby,Halmstad,28.06.2025 | Hammarby | Halmstad | 2 | 0
12,01.06.2025,Mjallby,Varnamo,01.06.2025 | Mjallby | Varnamo | 2 | 0
12,01.06.2025,Sirius,AIK,01.06.2025 | Sirius | AIK | 3 | 1
12,01.06.2025,Brommapojkarna,Goteborg,01.06.2025 | Brommapojkarna | Goteborg | 1 | 3
12,01.06.2025,Halmstad,Djurgarden,01.06.2025 | Halmstad | Djurgarden | 1 | 0
12,01.06.2025,Malmo FF,Hacken,01.06.2025 | Malmo FF | Hacken | 3 | 0
12,31.05.2025,Degerfors,Oster,31.05.2025 | Degerfors | Oster | 1 | 2
12,31.05.2025,Elfsborg,Hammarby,31.05.2025 | Elfsborg | Hammarby | 0 | 2
12,31.05.2025,Norrkoping,GAIS,31.05.2025 | Norrkoping | GAIS | 0 | 3
6,29.05.2025,Brommapojkarna,Djurgarden,29.05.2025 | Brommapojkarna | Djurgarden | 0 | 1
11,26.05.2025,Hammarby,Degerfors,26.05.2025 | Hammarby | Degerfors | 1 | 0
11,26.05.2025,Norrkoping,Mjallby,26.05.2025 | Norrkoping | Mjallby | 1 | 1
11,25.05.2025,Brommapojkarna,AIK,25.05.2025 | Brommapojkarna | AIK | 0 | 1
11,25.05.2025,Djurgarden,Hacken,25.05.2025 | Djurgarden | Hacken | 1 | 1
11,25.05.2025,Goteborg,Malmo FF,25.05.2025 | Goteborg | Malmo FF | 1 | 0
11,25.05.2025,Halmstad,Elfsborg,25.05.2025 | Halmstad | Elfsborg | 1 | 4
11,24.05.2025,GAIS,Sirius,24.05.2025 | GAIS | Sirius | 2 | 1
11,24.05.2025,Varnamo,Oster,24.05.2025 | Varnamo | Oster | 1 | 1
18,22.05.2025,Hammarby,Mjallby,22.05.2025 | Hammarby | Mjallby | 1 | 2
18,22.05.2025,Malmo FF,AIK,22.05.2025 | Malmo FF | AIK | 0 | 0
10,19.05.2025,Elfsborg,Djurgarden,19.05.2025 | Elfsborg | Djurgarden | 4 | 0
10,19.05.2025,Degerfors,Goteborg,19.05.2025 | Degerfors | Goteborg | 1 | 3
10,19.05.2025,Mjallby,Brommapojkarna,19.05.2025 | Mjallby | Brommapojkarna | 1 | 0
10,19.05.2025,Sirius,Norrkoping,19.05.2025 | Sirius | Norrkoping | 1 | 2
10,18.05.2025,Malmo FF,Halmstad,18.05.2025 | Malmo FF | Halmstad | 3 | 0
10,18.05.2025,Oster,GAIS,18.05.2025 | Oster | GAIS | 1 | 1
10,18.05.2025,AIK,Hammarby,18.05.2025 | AIK | Hammarby | 0 | 0
10,18.05.2025,Hacken,Varnamo,18.05.2025 | Hacken | Varnamo | 2 | 0
9,15.05.2025,Djurgarden,Mjallby,15.05.2025 | Djurgarden | Mjallby | 1 | 3
9,15.05.2025,Elfsborg,Brommapojkarna,15.05.2025 | Elfsborg | Brommapojkarna | 4 | 3
9,15.05.2025,Goteborg,Oster,15.05.2025 | Goteborg | Oster | 0 | 1
9,15.05.2025,Norrkoping,Degerfors,15.05.2025 | Norrkoping | Degerfors | 1 | 2
9,15.05.2025,Varnamo,Malmo FF,15.05.2025 | Varnamo | Malmo FF | 2 | 2
9,14.05.2025,Hacken,AIK,14.05.2025 | Hacken | AIK | 3 | 3
9,14.05.2025,Halmstad,GAIS,14.05.2025 | Halmstad | GAIS | 1 | 3
9,14.05.2025,Hammarby,Sirius,14.05.2025 | Hammarby | Sirius | 3 | 2
8,12.05.2025,Goteborg,Djurgarden,12.05.2025 | Goteborg | Djurgarden | 1 | 2
8,11.05.2025,Degerfors,Malmo FF,11.05.2025 | Degerfors | Malmo FF | 1 | 4
8,11.05.2025,Oster,Elfsborg,11.05.2025 | Oster | Elfsborg | 0 | 1
8,11.05.2025,AIK,Mjallby,11.05.2025 | AIK | Mjallby | 2 | 1
8,11.05.2025,Hammarby,Norrkoping,11.05.2025 | Hammarby | Norrkoping | 1 | 1
8,10.05.2025,GAIS,Varnamo,10.05.2025 | GAIS | Varnamo | 1 | 1
8,10.05.2025,Sirius,Hacken,10.05.2025 | Sirius | Hacken | 2 | 0
8,10.05.2025,Brommapojkarna,Halmstad,10.05.2025 | Brommapojkarna | Halmstad | 0 | 1
7,05.05.2025,Elfsborg,GAIS,05.05.2025 | Elfsborg | GAIS | 2 | 0
7,05.05.2025,Malmo FF,Brommapojkarna,05.05.2025 | Malmo FF | Brommapojkarna | 1 | 2
7,04.05.2025,Mjallby,Goteborg,04.05.2025 | Mjallby | Goteborg | 1 | 0
7,04.05.2025,Oster,Hammarby,04.05.2025 | Oster | Hammarby | 0 | 3
7,04.05.2025,Djurgarden,AIK,04.05.2025 | Djurgarden | AIK | 1 | 1
7,04.05.2025,Norrkoping,Hacken,04.05.2025 | Norrkoping | Hacken | 0 | 2
7,03.05.2025,Halmstad,Varnamo,03.05.2025 | Halmstad | Varnamo | 4 | 2
7,03.05.2025,Degerfors,Sirius,03.05.2025 | Degerfors | Sirius | 1 | 1
6,29.04.2025,Malmo FF,Oster,29.04.2025 | Malmo FF | Oster | 2 | 0
6,28.04.2025,Goteborg,GAIS,28.04.2025 | Goteborg | GAIS | 1 | 1
6,27.04.2025,Sirius,Halmstad,27.04.2025 | Sirius | Halmstad | 1 | 1
6,27.04.2025,Varnamo,Norrkoping,27.04.2025 | Varnamo | Norrkoping | 1 | 3
6,27.04.2025,AIK,Elfsborg,27.04.2025 | AIK | Elfsborg | 2 | 0
6,27.04.2025,Hacken,Hammarby,27.04.2025 | Hacken | Hammarby | 1 | 1
6,27.04.2025,Mjallby,Degerfors,27.04.2025 | Mjallby | Degerfors | 4 | 1
5,24.04.2025,Djurgarden,Oster,24.04.2025 | Djurgarden | Oster | 1 | 0
5,24.04.2025,GAIS,Brommapojkarna,24.04.2025 | GAIS | Brommapojkarna | 1 | 1
5,24.04.2025,Norrkoping,Goteborg,24.04.2025 | Norrkoping | Goteborg | 2 | 3
5,24.04.2025,Varnamo,AIK,24.04.2025 | Varnamo | AIK | 1 | 2
5,23.04.2025,Elfsborg,Sirius,23.04.2025 | Elfsborg | Sirius | 4 | 3
5,23.04.2025,Hacken,Degerfors,23.04.2025 | Hacken | Degerfors | 3 | 4
5,23.04.2025,Halmstad,Mjallby,23.04.2025 | Halmstad | Mjallby | 1 | 3
5,23.04.2025,Hammarby,Malmo FF,23.04.2025 | Hammarby | Malmo FF | 2 | 0
4,21.04.2025,Djurgarden,GAIS,21.04.2025 | Djurgarden | GAIS | 0 | 0
4,20.04.2025,Goteborg,Hacken,20.04.2025 | Goteborg | Hacken | 2 | 3
4,20.04.2025,Brommapojkarna,Varnamo,20.04.2025 | Brommapojkarna | Varnamo | 3 | 2
4,20.04.2025,Oster,AIK,20.04.2025 | Oster | AIK | 0 | 1
4,19.04.2025,Degerfors,Elfsborg,19.04.2025 | Degerfors | Elfsborg | 0 | 1
4,19.04.2025,Norrkoping,Halmstad,19.04.2025 | Norrkoping | Halmstad | 3 | 0
4,18.04.2025,Malmo FF,Sirius,18.04.2025 | Malmo FF | Sirius | 1 | 1
4,18.04.2025,Mjallby,Hammarby,18.04.2025 | Mjallby | Hammarby | 3 | 1
3,14.04.2025,AIK,Malmo FF,14.04.2025 | AIK | Malmo FF | 0 | 0
3,14.04.2025,Halmstad,Oster,14.04.2025 | Halmstad | Oster | 1 | 0
3,13.04.2025,GAIS,Degerfors,13.04.2025 | GAIS | Degerfors | 2 | 0
3,13.04.2025,Sirius,Brommapojkarna,13.04.2025 | Sirius | Brommapojkarna | 0 | 3
3,13.04.2025,Hammarby,Djurgarden,13.04.2025 | Hammarby | Djurgarden | 2 | 0
3,13.04.2025,Varnamo,Goteborg,13.04.2025 | Varnamo | Goteborg | 0 | 1
3,12.04.2025,Elfsborg,Norrkoping,12.04.2025 | Elfsborg | Norrkoping | 2 | 0
3,12.04.2025,Hacken,Mjallby,12.04.2025 | Hacken | Mjallby | 0 | 3
2,07.04.2025,Malmo FF,Elfsborg,07.04.2025 | Malmo FF | Elfsborg | 2 | 1
2,06.04.2025,Degerfors,Varnamo,06.04.2025 | Degerfors | Varnamo | 1 | 0
2,06.04.2025,Mjallby,GAIS,06.04.2025 | Mjallby | GAIS | 1 | 1
2,06.04.2025,AIK,Norrkoping,06.04.2025 | AIK | Norrkoping | 4 | 3
2,06.04.2025,Brommapojkarna,Hammarby,06.04.2025 | Brommapojkarna | Hammarby | 0 | 2
2,05.04.2025,Oster,Hacken,05.04.2025 | Oster | Hacken | 2 | 0
2,05.04.2025,Goteborg,Halmstad,05.04.2025 | Goteborg | Halmstad | 1 | 0
2,05.04.2025,Sirius,Djurgarden,05.04.2025 | Sirius | Djurgarden | 0 | 1
1,31.03.2025,GAIS,AIK,31.03.2025 | GAIS | AIK | 0 | 1
1,31.03.2025,Varnamo,Sirius,31.03.2025 | Varnamo | Sirius | 1 | 2
1,30.03.2025,Halmstad,Degerfors,30.03.2025 | Halmstad | Degerfors | 0 | 5
1,30.03.2025,Norrkoping,Oster,30.03.2025 | Norrkoping | Oster | 4 | 3
1,30.03.2025,Elfsborg,Mjallby,30.03.2025 | Elfsborg | Mjallby | 2 | 2
1,30.03.2025,Hammarby,Goteborg,30.03.2025 | Hammarby | Goteborg | 4 | 0
1,29.03.2025,Hacken,Brommapojkarna,29.03.2025 | Hacken | Brommapojkarna | 2 | 0
1,29.03.2025,Djurgarden,Malmo FF,29.03.2025 | Djurgarden | Malmo FF | 0 | 1
