round,date,team_home,team_away,full_text
6,01.09.2024,Lugano,St. Gallen,01.09.2024 | Lugano | St. Gallen | 1 | 1
6,01.09.2024,Zurich,Luzern,01.09.2024 | Zurich | Luzern | 1 | 1
6,01.09.2024,Winterthur,Servette,01.09.2024 | Winterthur | Servette | 0 | 1
6,31.08.2024,Young Boys,Lausanne,31.08.2024 | Young Boys | Lausanne | 1 | 1
6,31.08.2024,Sion,Basel,31.08.2024 | Sion | Basel | 1 | 1
6,31.08.2024,Yverdon,Grasshoppers,31.08.2024 | Yverdon | Grasshoppers | 2 | 1
5,25.08.2024,Basel,Yverdon,25.08.2024 | Basel | Yverdon | 2 | 0
5,24.08.2024,Grasshoppers,Sion,24.08.2024 | Grasshoppers | Sion | 3 | 1
5,24.08.2024,Luzern,Winterthur,24.08.2024 | Luzern | Winterthur | 3 | 0
4,11.08.2024,Lugano,Luzern,11.08.2024 | Lugano | Luzern | 2 | 3
4,11.08.2024,Servette,Basel,11.08.2024 | Servette | Basel | 0 | 6
4,11.08.2024,Zurich,Lausanne,11.08.2024 | Zurich | Lausanne | 2 | 0
4,11.08.2024,St. Gallen,Grasshoppers,11.08.2024 | St. Gallen | Grasshoppers | 1 | 0
4,10.08.2024,Yverdon,Young Boys,10.08.2024 | Yverdon | Young Boys | 2 | 2
4,10.08.2024,Sion,Winterthur,10.08.2024 | Sion | Winterthur | 2 | 0
3,04.08.2024,Winterthur,Yverdon,04.08.2024 | Winterthur | Yverdon | 0 | 0
3,04.08.2024,Young Boys,Zurich,04.08.2024 | Young Boys | Zurich | 2 | 2
3,04.08.2024,Lausanne,St. Gallen,04.08.2024 | Lausanne | St. Gallen | 3 | 4
3,03.08.2024,Luzern,Sion,03.08.2024 | Luzern | Sion | 1 | 0
3,03.08.2024,Grasshoppers,Basel,03.08.2024 | Grasshoppers | Basel | 0 | 3
3,03.08.2024,Lugano,Servette,03.08.2024 | Lugano | Servette | 3 | 1
2,28.07.2024,St. Gallen,Young Boys,28.07.2024 | St. Gallen | Young Boys | 4 | 0
2,28.07.2024,Zurich,Winterthur,28.07.2024 | Zurich | Winterthur | 4 | 2
2,28.07.2024,Servette,Yverdon,28.07.2024 | Servette | Yverdon | 3 | 2
2,27.07.2024,Basel,Lugano,27.07.2024 | Basel | Lugano | 1 | 2
2,27.07.2024,Grasshoppers,Luzern,27.07.2024 | Grasshoppers | Luzern | 2 | 2
2,27.07.2024,Sion,Lausanne,27.07.2024 | Sion | Lausanne | 4 | 0
5,24.07.2024,Servette,Young Boys,24.07.2024 | Servette | Young Boys | 3 | 1
1,21.07.2024,Lausanne,Basel,21.07.2024 | Lausanne | Basel | 3 | 2
1,21.07.2024,Luzern,Servette,21.07.2024 | Luzern | Servette | 1 | 2
1,21.07.2024,Young Boys,Sion,21.07.2024 | Young Boys | Sion | 1 | 2
1,20.07.2024,Winterthur,St. Gallen,20.07.2024 | Winterthur | St. Gallen | 1 | 0
1,20.07.2024,Lugano,Grasshoppers,20.07.2024 | Lugano | Grasshoppers | 2 | 1
1,20.07.2024,Yverdon,Zurich,20.07.2024 | Yverdon | Zurich | 0 | 2
