round,date,team_home,team_away,full_text
5,04.12.2024,Gyor,Puskas Academy,04.12.2024 | Gyor | Puskas Academy | 0 | 2
5,03.12.2024,MTK Budapest,Paks,03.12.2024 | MTK Budapest | Paks | 3 | 1
15,01.12.2024,Ujpest,Ferencvaros,01.12.2024 | Ujpest | Ferencvaros | 0 | 0
15,01.12.2024,Zalaegerszegi,Videoton,01.12.2024 | Zalaegerszegi | Videoton | 0 | 1
15,30.11.2024,DVTK,Debrecen,30.11.2024 | DVTK | Debrecen | 3 | 1
15,30.11.2024,Gyor,Kecskemeti TE,30.11.2024 | Gyor | Kecskemeti TE | 1 | 2
15,30.11.2024,MTK Budapest,Puskas Academy,30.11.2024 | MTK Budapest | Puskas Academy | 0 | 1
15,29.11.2024,Nyiregyhaza,Paks,29.11.2024 | Nyiregyhaza | Paks | 4 | 2
14,24.11.2024,Debrecen,Kecskemeti TE,24.11.2024 | Debrecen | Kecskemeti TE | 2 | 2
14,24.11.2024,Ferencvaros,DVTK,24.11.2024 | Ferencvaros | DVTK | 3 | 3
14,24.11.2024,Paks,Zalaegerszegi,24.11.2024 | Paks | Zalaegerszegi | 2 | 2
14,23.11.2024,Videoton,Ujpest,23.11.2024 | Videoton | Ujpest | 0 | 1
14,23.11.2024,MTK Budapest,Gyor,23.11.2024 | MTK Budapest | Gyor | 2 | 2
14,23.11.2024,Nyiregyhaza,Puskas Academy,23.11.2024 | Nyiregyhaza | Puskas Academy | 0 | 3
13,10.11.2024,Kecskemeti TE,Ferencvaros,10.11.2024 | Kecskemeti TE | Ferencvaros | 0 | 1
13,10.11.2024,DVTK,Videoton,10.11.2024 | DVTK | Videoton | 1 | 0
13,09.11.2024,Ujpest,Paks,09.11.2024 | Ujpest | Paks | 0 | 0
13,09.11.2024,Debrecen,Gyor,09.11.2024 | Debrecen | Gyor | 2 | 2
13,09.11.2024,Zalaegerszegi,Puskas Academy,09.11.2024 | Zalaegerszegi | Puskas Academy | 4 | 2
13,08.11.2024,Nyiregyhaza,MTK Budapest,08.11.2024 | Nyiregyhaza | MTK Budapest | 2 | 0
12,03.11.2024,Videoton,Kecskemeti TE,03.11.2024 | Videoton | Kecskemeti TE | 6 | 1
12,03.11.2024,Ferencvaros,Debrecen,03.11.2024 | Ferencvaros | Debrecen | 2 | 2
12,03.11.2024,Paks,DVTK,03.11.2024 | Paks | DVTK | 3 | 4
12,02.11.2024,Gyor,Nyiregyhaza,02.11.2024 | Gyor | Nyiregyhaza | 1 | 1
12,02.11.2024,Puskas Academy,Ujpest,02.11.2024 | Puskas Academy | Ujpest | 1 | 1
12,02.11.2024,MTK Budapest,Zalaegerszegi,02.11.2024 | MTK Budapest | Zalaegerszegi | 1 | 1
11,27.10.2024,Gyor,Ferencvaros,27.10.2024 | Gyor | Ferencvaros | 1 | 1
11,27.10.2024,Paks,Kecskemeti TE,27.10.2024 | Paks | Kecskemeti TE | 1 | 0
11,27.10.2024,Nyiregyhaza,Zalaegerszegi,27.10.2024 | Nyiregyhaza | Zalaegerszegi | 1 | 1
11,26.10.2024,MTK Budapest,Ujpest,26.10.2024 | MTK Budapest | Ujpest | 4 | 1
11,26.10.2024,Videoton,Debrecen,26.10.2024 | Videoton | Debrecen | 2 | 0
11,26.10.2024,Puskas Academy,DVTK,26.10.2024 | Puskas Academy | DVTK | 1 | 1
10,20.10.2024,Ferencvaros,Videoton,20.10.2024 | Ferencvaros | Videoton | 2 | 0
10,20.10.2024,Zalaegerszegi,Gyor,20.10.2024 | Zalaegerszegi | Gyor | 1 | 2
10,20.10.2024,Kecskemeti TE,Puskas Academy,20.10.2024 | Kecskemeti TE | Puskas Academy | 0 | 3
10,19.10.2024,Ujpest,Nyiregyhaza,19.10.2024 | Ujpest | Nyiregyhaza | 1 | 0
10,19.10.2024,DVTK,MTK Budapest,19.10.2024 | DVTK | MTK Budapest | 0 | 2
10,19.10.2024,Debrecen,Paks,19.10.2024 | Debrecen | Paks | 0 | 5
9,06.10.2024,Paks,Ferencvaros,06.10.2024 | Paks | Ferencvaros | 3 | 1
9,06.10.2024,Zalaegerszegi,Ujpest,06.10.2024 | Zalaegerszegi | Ujpest | 0 | 2
9,05.10.2024,Nyiregyhaza,DVTK,05.10.2024 | Nyiregyhaza | DVTK | 0 | 2
9,05.10.2024,MTK Budapest,Kecskemeti TE,05.10.2024 | MTK Budapest | Kecskemeti TE | 3 | 1
9,05.10.2024,Gyor,Videoton,05.10.2024 | Gyor | Videoton | 3 | 1
9,04.10.2024,Puskas Academy,Debrecen,04.10.2024 | Puskas Academy | Debrecen | 1 | 0
8,29.09.2024,Ferencvaros,Puskas Academy,29.09.2024 | Ferencvaros | Puskas Academy | 3 | 0
8,29.09.2024,Videoton,Paks,29.09.2024 | Videoton | Paks | 1 | 2
8,28.09.2024,Debrecen,MTK Budapest,28.09.2024 | Debrecen | MTK Budapest | 2 | 3
8,28.09.2024,Kecskemeti TE,Nyiregyhaza,28.09.2024 | Kecskemeti TE | Nyiregyhaza | 0 | 2
8,28.09.2024,DVTK,Zalaegerszegi,28.09.2024 | DVTK | Zalaegerszegi | 2 | 1
8,27.09.2024,Ujpest,Gyor,27.09.2024 | Ujpest | Gyor | 0 | 0
7,22.09.2024,Gyor,Paks,22.09.2024 | Gyor | Paks | 2 | 1
7,22.09.2024,Puskas Academy,Videoton,22.09.2024 | Puskas Academy | Videoton | 3 | 0
7,21.09.2024,Nyiregyhaza,Debrecen,21.09.2024 | Nyiregyhaza | Debrecen | 3 | 2
7,21.09.2024,Ujpest,DVTK,21.09.2024 | Ujpest | DVTK | 0 | 0
7,21.09.2024,Zalaegerszegi,Kecskemeti TE,21.09.2024 | Zalaegerszegi | Kecskemeti TE | 2 | 1
7,20.09.2024,MTK Budapest,Ferencvaros,20.09.2024 | MTK Budapest | Ferencvaros | 1 | 3
6,01.09.2024,Ferencvaros,Nyiregyhaza,01.09.2024 | Ferencvaros | Nyiregyhaza | 2 | 1
6,01.09.2024,Paks,Puskas Academy,01.09.2024 | Paks | Puskas Academy | 2 | 1
6,01.09.2024,Kecskemeti TE,Ujpest,01.09.2024 | Kecskemeti TE | Ujpest | 1 | 3
6,31.08.2024,DVTK,Gyor,31.08.2024 | DVTK | Gyor | 0 | 0
6,31.08.2024,Debrecen,Zalaegerszegi,31.08.2024 | Debrecen | Zalaegerszegi | 3 | 1
6,30.08.2024,Videoton,MTK Budapest,30.08.2024 | Videoton | MTK Budapest | 1 | 0
5,25.08.2024,Nyiregyhaza,Videoton,25.08.2024 | Nyiregyhaza | Videoton | 3 | 3
5,24.08.2024,DVTK,Kecskemeti TE,24.08.2024 | DVTK | Kecskemeti TE | 1 | 0
5,23.08.2024,Ujpest,Debrecen,23.08.2024 | Ujpest | Debrecen | 3 | 0
4,18.08.2024,Puskas Academy,MTK Budapest,18.08.2024 | Puskas Academy | MTK Budapest | 1 | 0
4,18.08.2024,Paks,Nyiregyhaza,18.08.2024 | Paks | Nyiregyhaza | 2 | 1
4,18.08.2024,Videoton,Zalaegerszegi,18.08.2024 | Videoton | Zalaegerszegi | 1 | 1
4,17.08.2024,Ferencvaros,Ujpest,17.08.2024 | Ferencvaros | Ujpest | 1 | 0
4,17.08.2024,Debrecen,DVTK,17.08.2024 | Debrecen | DVTK | 0 | 1
4,16.08.2024,Kecskemeti TE,Gyor,16.08.2024 | Kecskemeti TE | Gyor | 2 | 1
3,11.08.2024,Puskas Academy,Nyiregyhaza,11.08.2024 | Puskas Academy | Nyiregyhaza | 3 | 1
3,11.08.2024,Ujpest,Videoton,11.08.2024 | Ujpest | Videoton | 4 | 1
3,11.08.2024,Gyor,MTK Budapest,11.08.2024 | Gyor | MTK Budapest | 1 | 2
3,10.08.2024,Zalaegerszegi,Paks,10.08.2024 | Zalaegerszegi | Paks | 3 | 1
3,10.08.2024,DVTK,Ferencvaros,10.08.2024 | DVTK | Ferencvaros | 0 | 2
3,09.08.2024,Kecskemeti TE,Debrecen,09.08.2024 | Kecskemeti TE | Debrecen | 1 | 1
2,04.08.2024,Paks,Ujpest,04.08.2024 | Paks | Ujpest | 2 | 1
2,04.08.2024,Puskas Academy,Zalaegerszegi,04.08.2024 | Puskas Academy | Zalaegerszegi | 2 | 1
2,03.08.2024,Ferencvaros,Kecskemeti TE,03.08.2024 | Ferencvaros | Kecskemeti TE | 1 | 0
2,03.08.2024,MTK Budapest,Nyiregyhaza,03.08.2024 | MTK Budapest | Nyiregyhaza | 3 | 0
2,03.08.2024,Videoton,DVTK,03.08.2024 | Videoton | DVTK | 3 | 1
2,02.08.2024,Gyor,Debrecen,02.08.2024 | Gyor | Debrecen | 0 | 3
1,28.07.2024,DVTK,Paks,28.07.2024 | DVTK | Paks | 2 | 2
1,28.07.2024,Kecskemeti TE,Videoton,28.07.2024 | Kecskemeti TE | Videoton | 0 | 0
1,28.07.2024,Ujpest,Puskas Academy,28.07.2024 | Ujpest | Puskas Academy | 1 | 2
1,26.07.2024,Nyiregyhaza,Gyor,26.07.2024 | Nyiregyhaza | Gyor | 2 | 1
1,26.07.2024,Zalaegerszegi,MTK Budapest,26.07.2024 | Zalaegerszegi | MTK Budapest | 0 | 1
