round,date,team_home,team_away,full_text
15,08.12.2024,AZ Alkmaar,Ajax,08.12.2024 | AZ Alkmaar | Ajax | 2 | 1
15,08.12.2024,Willem II,Heerenveen,08.12.2024 | Willem II | Heerenveen | 1 | 2
15,08.12.2024,Groningen,Zwolle,08.12.2024 | Groningen | Zwolle | 0 | 0
15,07.12.2024,Heracles,Sittard,07.12.2024 | Heracles | Sittard | 2 | 2
15,07.12.2024,Waalwijk,Feyenoord,07.12.2024 | Waalwijk | Feyenoord | 2 | 3
15,07.12.2024,Sparta Rotterdam,NAC Breda,07.12.2024 | Sparta Rotterdam | NAC Breda | 0 | 2
15,07.12.2024,G.A. Eagles,Nijmegen,07.12.2024 | G.A. Eagles | Nijmegen | 5 | 0
15,06.12.2024,PSV,Twente,06.12.2024 | PSV | Twente | 6 | 1
5,04.12.2024,Ajax,Utrecht,04.12.2024 | Ajax | Utrecht | 2 | 2
14,01.12.2024,Nijmegen,Ajax,01.12.2024 | Nijmegen | Ajax | 1 | 2
14,01.12.2024,AZ Alkmaar,Heracles,01.12.2024 | AZ Alkmaar | Heracles | 1 | 0
14,01.12.2024,Twente,G.A. Eagles,01.12.2024 | Twente | G.A. Eagles | 3 | 2
14,01.12.2024,Utrecht,PSV,01.12.2024 | Utrecht | PSV | 2 | 5
14,30.11.2024,Zwolle,Sparta Rotterdam,30.11.2024 | Zwolle | Sparta Rotterdam | 1 | 0
14,30.11.2024,Feyenoord,Sittard,30.11.2024 | Feyenoord | Sittard | 1 | 1
14,30.11.2024,Groningen,Willem II,30.11.2024 | Groningen | Willem II | 2 | 0
14,30.11.2024,NAC Breda,Almere City,30.11.2024 | NAC Breda | Almere City | 1 | 0
14,29.11.2024,Heerenveen,Waalwijk,29.11.2024 | Heerenveen | Waalwijk | 1 | 1
13,24.11.2024,Ajax,Zwolle,24.11.2024 | Ajax | Zwolle | 2 | 0
13,24.11.2024,Sparta Rotterdam,AZ Alkmaar,24.11.2024 | Sparta Rotterdam | AZ Alkmaar | 1 | 2
13,24.11.2024,Willem II,NAC Breda,24.11.2024 | Willem II | NAC Breda | 2 | 2
13,24.11.2024,Nijmegen,Utrecht,24.11.2024 | Nijmegen | Utrecht | 1 | 2
13,23.11.2024,PSV,Groningen,23.11.2024 | PSV | Groningen | 5 | 0
13,23.11.2024,Sittard,Twente,23.11.2024 | Sittard | Twente | 1 | 2
13,23.11.2024,Feyenoord,Heerenveen,23.11.2024 | Feyenoord | Heerenveen | 3 | 0
13,23.11.2024,Heracles,Waalwijk,23.11.2024 | Heracles | Waalwijk | 2 | 2
13,23.11.2024,G.A. Eagles,Almere City,23.11.2024 | G.A. Eagles | Almere City | 3 | 0
